life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
78.5,11.6,14.5,35167.0,0.8564,Very High
73.2,9.0,14.9,3598.0,0.681,Medium
65.2,5.8,13.6,1824.0,0.5577,Medium
70.2,10.2,15.6,66181.0,0.8368,Very High
81.2,8.8,14.6,14040.0,0.7887,High
73.8,10.0,15.6,39514.0,0.8297,Very High
65.8,6.6,10.8,3991.0,0.5885,Medium
50.1,2.8,9.8,712.0,0.3688,Low
44.2,2.5,4.8,652.0,0.2838,Low
81.3,10.9,15.8,22310.0,0.8515,Very High
64.3,7.4,12.1,4749.0,0.6151,Medium
56.5,4.6,7.3,1793.0,0.4437,Low
68.0,9.9,12.5,8779.0,0.6963,Medium
75.9,9.7,12.8,5791.0,0.7106,High
74.0,8.9,14.9,5918.0,0.7139,High
63.8,6.4,10.5,1737.0,0.5281,Low
79.4,8.0,13.5,6307.0,0.7156,High
51.6,3.8,8.1,3480.0,0.4506,Low
62.8,6.5,10.4,2009.0,0.5329,Low
56.3,5.6,8.8,2800.0,0.4947,Low
66.4,10.1,15.8,10927.0,0.7319,High
59.0,5.5,10.9,2709.0,0.5249,Low
50.3,5.4,5.9,974.0,0.381,Low
72.5,7.7,14.6,3229.0,0.6549,Medium
66.8,9.1,14.2,8094.0,0.693,Medium
52.3,4.7,7.9,1677.0,0.4299,Low
77.7,9.9,12.6,9604.0,0.7471,High
64.6,7.5,12.3,16914.0,0.6799,Medium
63.6,6.1,9.8,4329.0,0.5658,Medium
49.2,1.0,6.9,890.0,0.322,Low
71.7,9.1,14.9,17434.0,0.763,High
66.4,8.5,14.7,2234.0,0.6149,Medium
69.0,8.1,11.3,10655.0,0.6771,Medium
71.6,6.9,17.7,42014.0,0.8048,Very High
47.3,0.5,8.0,1092.0,0.3313,Low
60.9,4.9,11.7,2905.0,0.5388,Low
80.1,10.2,18.8,13342.0,0.8385,Very High
55.9,2.9,8.7,740.0,0.384,Low
67.3,7.8,13.6,2793.0,0.6151,Medium
52.0,4.5,7.7,822.0,0.3854,Low
64.3,10.1,15.1,6229.0,0.6856,Medium
61.1,7.3,13.6,4861.0,0.6136,Medium
69.8,10.0,15.6,12570.0,0.7539,High
65.4,7.5,11.0,3745.0,0.5963,Medium
75.5,10.5,15.6,17891.0,0.806,Very High
77.1,9.7,18.6,24402.0,0.8496,Very High
49.4,4.3,7.9,651.0,0.3586,Low
71.8,10.1,12.8,7540.0,0.7112,High
77.5,10.4,17.2,29988.0,0.8562,Very High
67.3,4.2,10.2,4124.0,0.5578,Medium
81.2,10.6,18.7,29755.0,0.8898,Very High
66.3,5.3,11.5,3676.0,0.5783,Medium
74.9,7.5,14.5,27182.0,0.7755,High
78.2,10.3,17.0,18453.0,0.8314,Very High
60.5,4.1,8.7,2477.0,0.4858,Low
62.1,7.3,11.1,1977.0,0.5445,Low
79.8,8.8,16.5,41239.0,0.8565,Very High
73.0,8.4,17.1,22345.0,0.7951,High
70.1,8.1,10.9,4482.0,0.6331,Medium
76.2,8.4,12.7,20238.0,0.7593,High
66.0,8.3,14.3,4901.0,0.6539,Medium
72.1,8.4,11.9,18637.0,0.728,High
70.0,7.4,10.1,3717.0,0.6057,Medium
60.8,4.7,12.1,2020.0,0.5196,Low
65.6,7.7,14.3,6797.0,0.664,Medium
78.6,10.9,15.6,62088.0,0.8871,Very High
59.7,2.9,7.0,2377.0,0.4394,Low
74.8,10.6,14.3,32042.0,0.8191,Very High
67.3,6.0,11.5,5044.0,0.6066,Medium
72.4,7.3,17.6,8566.0,0.7349,High
70.2,9.9,14.6,37325.0,0.7979,High
68.0,8.5,15.3,14847.0,0.7343,High
62.7,4.9,11.9,2700.0,0.5444,Low
76.5,11.2,18.6,13031.0,0.8285,Very High
71.5,10.0,13.9,28960.0,0.787,High
65.4,8.1,12.9,14502.0,0.6912,Medium
66.3,8.3,12.9,7646.0,0.6662,Medium
64.0,3.3,10.7,1805.0,0.4941,Low
67.9,10.4,16.0,10764.0,0.7445,High
82.4,11.6,19.8,26304.0,0.9106,Very High
55.3,3.2,8.4,2560.0,0.4487,Low
55.1,4.6,9.4,1095.0,0.4328,Low
72.2,9.0,15.4,8948.0,0.7357,High
57.6,4.7,10.3,1844.0,0.4822,Low
63.4,8.9,14.2,5457.0,0.6535,Medium
65.0,4.5,11.6,7647.0,0.5974,Medium
58.1,3.1,9.0,2555.0,0.4662,Low
74.3,7.2,17.5,47305.0,0.8267,Very High
74.6,9.1,14.8,8022.0,0.7362,High
64.6,8.8,14.2,18721.0,0.7196,High
60.7,7.0,11.3,2745.0,0.5553,Medium
68.3,8.4,15.4,9316.0,0.7108,High
45.5,2.6,5.0,787.0,0.3016,Low
54.5,3.4,7.5,2414.0,0.4353,Low
67.9,8.3,8.5,5352.0,0.6106,Medium
58.7,8.2,10.9,6282.0,0.5991,Medium
68.6,7.4,15.2,8904.0,0.6967,Medium
64.3,6.7,12.2,1789.0,0.5509,Medium
58.4,5.1,8.6,2516.0,0.4901,Low
72.2,12.0,18.0,12333.0,0.8078,Very High
60.4,4.9,10.9,6413.0,0.568,Medium
58.9,7.3,13.4,6635.0,0.6153,Medium
80.0,10.0,18.9,28527.0,0.8779,Very High
46.8,4.6,7.7,609.0,0.3458,Low
61.2,7.2,13.8,2752.0,0.5822,Medium
65.3,7.5,12.3,9720.0,0.6584,Medium
60.6,7.0,9.1,4438.0,0.5583,Medium
59.6,4.5,12.2,13111.0,0.6028,Medium
63.4,5.5,12.4,3858.0,0.5789,Medium
61.8,7.4,12.1,2757.0,0.5728,Medium
73.3,9.2,16.6,48447.0,0.8377,Very High
49.0,2.5,8.2,617.0,0.3365,Low
71.4,9.2,12.3,4649.0,0.6674,Medium
62.0,6.8,10.4,3909.0,0.569,Medium
67.3,8.4,12.5,10530.0,0.6856,Medium
71.5,9.4,13.5,9019.0,0.7185,High
56.3,5.4,6.3,2317.0,0.4545,Low
70.3,8.1,13.0,10408.0,0.6998,Medium
53.4,2.8,8.3,701.0,0.3651,Low
55.5,1.8,6.8,2494.0,0.4034,Low
71.7,9.3,12.9,8597.0,0.7105,High
63.2,7.4,10.8,4709.0,0.5961,Medium
78.2,9.3,17.5,19700.0,0.8287,Very High
62.2,7.0,10.7,2581.0,0.5521,Medium
64.1,6.3,14.1,3832.0,0.608,Medium
58.2,8.3,9.4,11347.0,0.6095,Medium
63.3,4.5,9.8,3200.0,0.5272,Low
60.6,6.4,11.9,1305.0,0.5085,Low
53.5,3.4,9.7,1517.0,0.4325,Low
72.3,8.0,15.4,7955.0,0.718,High
70.5,7.2,12.5,16068.0,0.7045,High
71.7,9.4,15.0,19266.0,0.7724,High
69.7,7.7,10.9,2377.0,0.5896,Medium
75.2,9.7,15.0,25520.0,0.8072,Very High
68.5,6.8,11.4,3874.0,0.6077,Medium
65.7,5.2,10.1,3784.0,0.5596,Medium
77.0,11.4,13.5,15044.0,0.7944,High
70.9,9.9,16.6,37583.0,0.8216,Very High
72.4,7.5,14.4,11843.0,0.7235,High
53.6,5.3,9.0,1826.0,0.4585,Low
71.9,8.2,12.4,5965.0,0.6725,Medium
78.2,10.8,16.1,26188.0,0.8468,Very High
72.0,10.1,17.5,11582.0,0.7781,High
77.8,10.4,12.9,14537.0,0.7782,High
70.5,10.3,14.9,16187.0,0.7677,High
56.1,4.8,7.0,1846.0,0.4423,Low
64.6,3.6,13.7,6393.0,0.5996,Medium
78.9,11.2,16.3,16011.0,0.8306,Very High
65.4,10.4,14.9,6375.0,0.6935,Medium
52.7,1.2,3.0,2767.0,0.3147,Low
52.1,3.6,7.3,459.0,0.3314,Low
63.6,8.4,10.6,2992.0,0.5825,Medium
68.0,8.7,15.0,15512.0,0.7353,High
64.2,6.2,10.6,4544.0,0.5811,Medium
64.7,4.6,10.8,1302.0,0.4945,Low
55.9,3.4,11.4,2677.0,0.4902,Low
62.9,8.8,14.6,5130.0,0.6499,Medium
51.7,3.5,8.8,662.0,0.3685,Low
74.4,9.5,15.4,22609.0,0.7999,High
67.0,7.2,12.2,5788.0,0.6361,Medium
68.1,8.8,14.0,7870.0,0.6935,Medium
53.9,4.6,6.1,651.0,0.362,Low
58.2,5.6,10.9,2655.0,0.5223,Low
84.4,11.9,15.8,37309.0,0.9048,Very High
60.8,7.2,11.1,8137.0,0.6113,Medium
69.6,8.7,18.2,20236.0,0.7872,High
61.7,6.3,12.5,5530.0,0.6017,Medium
54.9,6.8,9.0,2956.0,0.5075,Low
81.8,13.0,16.5,78621.0,0.946,Very High
69.1,7.8,13.8,14839.0,0.7162,High
83.0,11.1,18.3,27020.0,0.8965,Very High
58.4,3.0,9.0,2019.0,0.4547,Low
51.5,4.4,7.4,357.0,0.321,Low
80.2,8.5,14.7,25039.0,0.8106,Very High
66.4,7.3,13.3,15299.0,0.6932,Medium
63.8,7.8,12.8,7575.0,0.6464,Medium
67.7,6.9,15.4,23553.0,0.7356,High
61.7,6.0,10.8,3514.0,0.557,Medium
58.0,4.6,9.0,1340.0,0.4528,Low
51.8,3.8,8.6,824.0,0.3843,Low
65.0,6.8,13.4,10867.0,0.6637,Medium
57.1,3.5,10.6,1173.0,0.4428,Low
75.0,10.8,15.5,20192.0,0.8126,Very High
69.3,7.7,14.0,14188.0,0.7167,High
75.5,9.7,13.6,15465.0,0.7697,High
73.7,10.1,14.2,31807.0,0.807,Very High
66.1,7.7,11.7,3889.0,0.6113,Medium
60.2,5.6,8.6,2421.0,0.5032,Low
56.4,3.1,7.1,1935.0,0.4221,Low
66.5,8.7,12.9,4726.0,0.6464,Medium
53.9,3.7,6.7,906.0,0.3775,Low
55.5,5.7,9.0,2880.0,0.4963,Low
56.8,2.7,9.3,1015.0,0.4102,Low
73.9,8.0,13.0,13561.0,0.7273,High
61.1,3.8,9.8,2874.0,0.5038,Low
64.2,6.4,10.0,5432.0,0.5865,Medium
56.2,4.0,7.4,3660.0,0.4695,Low
56.9,5.3,12.0,3362.0,0.5361,Low
71.4,9.9,15.2,7202.0,0.7268,High
50.1,3.7,10.5,782.0,0.3907,Low
71.4,10.4,13.2,10553.0,0.735,High
73.4,8.9,17.7,21598.0,0.8068,Very High
72.3,8.8,12.9,18045.0,0.7435,High
59.7,3.5,8.5,2018.0,0.461,Low
60.1,6.4,14.8,3319.0,0.5874,Medium
53.7,6.5,7.6,563.0,0.3874,Low
64.0,4.6,13.3,6977.0,0.6097,Medium
68.3,8.6,12.9,7129.0,0.6766,Medium
68.3,9.6,11.9,10897.0,0.6992,Medium
72.6,7.0,11.1,9706.0,0.6709,Medium
57.7,5.8,10.2,1785.0,0.4942,Low
50.7,4.1,7.4,1637.0,0.4088,Low
74.1,10.2,15.5,15881.0,0.7892,High
74.5,7.9,10.8,19758.0,0.722,High
74.6,9.9,16.2,7087.0,0.7506,High
70.3,10.4,12.1,8162.0,0.7054,High
51.7,2.9,7.2,807.0,0.357,Low
78.6,9.5,13.6,45522.0,0.8333,Very High
62.9,6.5,13.2,6069.0,0.6204,Medium
80.1,8.5,13.5,13540.0,0.7664,High
59.6,4.6,9.9,2730.0,0.5063,Low
86.0,14.3,19.6,95137.0,1.0,Very High
66.7,7.2,12.9,19126.0,0.6983,Medium
62.5,6.0,9.7,3854.0,0.5531,Medium
73.5,9.5,12.1,8240.0,0.7107,High
50.9,4.1,8.8,1261.0,0.4114,Low
51.2,5.7,8.4,1512.0,0.437,Low
70.9,8.2,12.5,14811.0,0.7159,High
63.5,7.2,14.1,10444.0,0.6667,Medium
55.4,3.3,7.2,1457.0,0.4091,Low
77.5,12.0,15.4,36300.0,0.8672,Very High
73.2,8.2,12.1,20511.0,0.7379,High
63.3,9.4,10.6,4271.0,0.6121,Medium
53.0,3.2,6.6,620.0,0.3439,Low
66.6,10.9,14.6,13920.0,0.7439,High
47.9,1.8,9.5,479.0,0.3207,Low
67.3,7.5,12.5,8050.0,0.6606,Medium
59.5,4.3,8.4,1162.0,0.4395,Low
81.8,13.8,18.1,30985.0,0.9263,Very High
64.0,4.9,10.9,5074.0,0.5726,Medium
56.3,6.1,13.2,5089.0,0.5735,Medium
73.6,9.4,13.1,12945.0,0.7438,High
58.6,6.0,8.9,3115.0,0.5158,Low
77.2,9.4,16.8,20953.0,0.8214,Very High
63.6,6.5,10.2,11148.0,0.6209,Medium
50.9,3.3,3.3,554.0,0.2911,Low
50.6,1.1,11.2,892.0,0.3784,Low
73.6,12.0,15.1,18643.0,0.8104,Very High
58.6,7.0,10.4,7595.0,0.5872,Medium
60.4,4.0,12.5,4555.0,0.5559,Medium
63.2,6.1,11.5,4970.0,0.5895,Medium
56.5,2.6,11.0,1714.0,0.4558,Low
59.2,5.3,13.1,7402.0,0.5961,Medium
62.9,5.4,8.7,5265.0,0.5509,Medium
75.8,10.7,20.0,22903.0,0.8625,Very High
67.0,9.1,12.1,4191.0,0.6381,Medium
61.6,5.2,9.3,1705.0,0.4912,Low
64.9,9.8,14.0,7723.0,0.6872,Medium
70.5,7.5,9.5,14656.0,0.6697,Medium
55.0,3.7,7.8,703.0,0.3782,Low
70.8,11.1,13.1,11233.0,0.7424,High
59.6,6.3,8.9,2094.0,0.5039,Low
56.1,4.5,7.5,2220.0,0.4529,Low
65.8,6.2,13.6,3663.0,0.6068,Medium
55.6,5.4,11.9,1770.0,0.4954,Low
53.8,2.1,6.6,700.0,0.3375,Low
81.9,12.1,16.8,38674.0,0.9074,Very High
60.2,4.4,10.9,4971.0,0.5475,Low
59.9,6.5,10.7,5531.0,0.5759,Medium
62.9,5.1,12.9,4368.0,0.5835,Medium
74.2,8.6,14.9,5299.0,0.7053,High
72.9,7.4,14.7,7553.0,0.7043,High
69.1,9.5,11.8,3302.0,0.6363,Medium
43.8,1.4,6.3,525.0,0.273,Low
51.8,2.5,8.1,804.0,0.3624,Low
70.6,7.2,14.1,10031.0,0.6997,Medium
66.3,5.3,11.0,5315.0,0.5899,Medium
63.4,7.4,10.9,13368.0,0.6473,Medium
72.1,9.5,14.0,12787.0,0.7459,High
65.0,9.1,11.9,8839.0,0.668,Medium
73.1,11.0,14.4,6891.0,0.7369,High
64.1,8.9,12.7,5111.0,0.6401,Medium
59.0,7.7,12.2,7024.0,0.6124,Medium
